Case ID,Case Type,Expected Use,Shape,Stock #,Report #,Lab,Weight,Color,Clarity,Measurements,CrownAngle,PavilionAngle,TablePercent,DepthPercent,CrownPercent,PavilionPercent,GirdlePercent,Expected Input Status,Expected Band,Include In Regression,Tolerance Score Delta,Notes
G001,Ideal baseline,Regression,ROUND,GOLD-001,GOLD001,IGI,1.0,F,VS1,6.430x6.470x3.970,34.5,40.8,56,61.5,15,43,3.5,OK,,True,0.01,Reference strong round
G002,Premium candidate,Regression,ROUND,GOLD-002,GOLD002,IGI,1.2,G,VS2,6.850x6.900x4.210,34.8,40.8,57,61.8,15,43,3.6,OK,,True,0.01,Good spread and geometry
G003,Standard commercial,Regression,ROUND,GOLD-003,GOLD003,IGI,1.0,H,VS2,6.350x6.390x3.980,33.8,41.1,59,62.5,13.5,43.7,4.2,OK,,True,0.01,Commercial zone
G004,Small spread check,Regression,ROUND,GOLD-004,GOLD004,IGI,1.0,G,VS2,6.100x6.150x3.970,34.5,40.8,56,61.5,15,43,3.5,OK,,True,0.01,High geometry but small face-up preview
G005,Out of round,Regression,ROUND,GOLD-005,GOLD005,IGI,1.0,F,VS1,6.250x6.480x3.970,34.5,40.8,56,61.5,15,43,3.5,OK,,True,0.01,Roundness issue
G006,Unsupported shape,Regression,OVAL,GOLD-006,GOLD006,IGI,1.0,F,VS1,8.000x6.000x3.800,34.5,40.8,56,61.5,15,43,3.5,UNSUPPORTED_SHAPE,,True,0.01,Must not use round model
G007,Catalog only,Upload Quality,ROUND,GOLD-007,GOLD007,IGI,1.0,F,VS1,,,,,,,,,CATALOG_DATA_ONLY,,True,0.01,No geometry
G008,Scale issue,Upload Quality,ROUND,GOLD-008,GOLD008,IGI,1.0,F,VS1,6.430x6.470x3.970,345,408,560,615,150,430,35,POSSIBLE_SCALE_ISSUE,,True,0.01,345 likely 34.5
G009,Large table risk,Regression,ROUND,GOLD-009,GOLD009,IGI,1.0,I,SI1,6.420x6.460x3.950,34.0,40.8,61,61.4,13.8,43,3.5,OK,,True,0.01,Table warning case
G010,Wide shallow risk,Regression,ROUND,GOLD-010,GOLD010,IGI,1.0,F,VS1,6.700x6.760x3.700,33.0,40.4,59,55.5,12.5,41.5,3.0,OK,,True,0.01,Wide but risky
